date,observed_case,observed_vaccine,no_information_case,no_information_vaccine,spline_beta_case,spline_beta_vaccine,semi_mechanistic_case,semi_mechanistic_vaccine,counterfactual_M_zero_case,counterfactual_M_zero_vaccine,counterfactual_C_zero_case,counterfactual_C_zero_vaccine
2021-04-27,1123664.3446012882,8784939.827832008,1115246.9674081812,9187979.98528985,1122498.5947607898,9187576.248225002,1123855.3117703851,8653312.299414089,42219648.908802666,3045749.995908687,925307.211574468,41294824.48146406
2021-04-28,1131547.9894132193,9008585.791859742,1122489.594970914,9374197.019773258,1130450.665346761,9373733.224229986,1131751.0822769357,8893538.431086434,42219730.354447946,3045749.995908687,925307.2115745548,41294824.4812062
2021-04-29,1139464.138882221,9210931.83878231,1129774.4387594755,9559287.683725832,1138393.334265102,9558760.537932025,1139635.6346750075,9136678.907075593,42219792.819411166,3045749.995908687,925307.2115746335,41294824.48172549
2021-04-30,1147430.7455446632,9394006.586824942,1137099.381756471,9743258.379566733,1146319.135082618,9742664.914591454,1147500.6906143858,9382722.592651878,42219841.39817594,3045749.995908687,925307.2115747049,41294824.48200636
2021-05-01,1155393.2897920625,9716504.686806902,1144462.275053736,9926115.484877225,1154220.6087956275,9925453.080581553,1155338.0136726676,9631656.779320775,42219879.6686263,3045749.995908687,925307.2115747696,41294824.48162458
2021-05-02,1163278.0633597765,10008288.360046543,1151860.93989919,10107865.35264888,1162090.0425699088,10107131.764844226,1163139.4648146878,9883467.081493959,42219910.18067512,3045749.995908687,925307.2115748283,41294824.481617235
2021-05-03,1171023.996984846,10272282.848453006,1159293.1795868082,10288514.311709493,1169919.5492560295,10287707.699478729,1170897.0345790521,10138137.344726034,42219934.77707883,3045749.995908687,925307.2115748816,41294824.48188156
2021-05-04,1178731.1715450217,10511134.788871892,1166756.7703498728,10468068.666723847,1177701.1060827838,10467187.620457975,1178602.830981842,10395649.561441503,42219954.807327,3045749.995908687,925307.2115749298,41294824.48185394
2021-05-05,1186440.421734181,10727238.748823045,1174249.4679906808,10646534.698487477,1185426.5859771734,10645578.267969714,1186249.1324698972,10655983.800258473,42219971.27230846,3045749.995908687,925307.2115749735,41294824.481183924
2021-05-06,1194143.931083165,10922761.234676491,1181769.0115429596,10823918.664147945,1193087.797263201,10822886.386827243,1193828.4059564043,10919118.143406514,42219984.92326433,3045749.995908687,925307.2115750131,41294824.48141289
