pair,lag_days,correlation
intervention_m_vs_daily_cases,-12,-0.474957210768802
intervention_m_vs_daily_cases,-11,-0.5061997881621874
intervention_m_vs_daily_cases,-10,-0.5357318563765305
intervention_m_vs_daily_cases,-9,-0.563482202538083
intervention_m_vs_daily_cases,-8,-0.5898227128044409
intervention_m_vs_daily_cases,-7,-0.6151582344706226
intervention_m_vs_daily_cases,-6,-0.6396003817428996
intervention_m_vs_daily_cases,-5,-0.6630602099210738
intervention_m_vs_daily_cases,-4,-0.6855730473769747
intervention_m_vs_daily_cases,-3,-0.7070565015145894
intervention_m_vs_daily_cases,-2,-0.7273685702656684
intervention_m_vs_daily_cases,-1,-0.7469078569709673
intervention_m_vs_daily_cases,0,-0.7654871090776789
intervention_m_vs_daily_cases,1,-0.9161043324495949
intervention_m_vs_daily_cases,2,-0.9393366597929608
intervention_m_vs_daily_cases,3,-0.9580677725941787
intervention_m_vs_daily_cases,4,-0.9722150558939071
intervention_m_vs_daily_cases,5,-0.9821600501290872
intervention_m_vs_daily_cases,6,-0.9884860543534317
intervention_m_vs_daily_cases,7,-0.9924164951728274
intervention_m_vs_daily_cases,8,-0.9948728571711013
intervention_m_vs_daily_cases,9,-0.9964582183766343
intervention_m_vs_daily_cases,10,-0.997225828893524
intervention_m_vs_daily_cases,11,-0.9973531266996103
intervention_m_vs_daily_cases,12,-0.9970926927663516
intervention_m_vs_daily_cases,13,-0.9966466815045111
intervention_m_vs_daily_cases,14,-0.9963935247133303
intervention_m_vs_daily_cases,15,-0.9962600000150352
intervention_m_vs_daily_cases,16,-0.9959346014055372
intervention_m_vs_daily_cases,17,-0.9953461720312055
intervention_m_vs_daily_cases,18,-0.9946401007016423
intervention_m_vs_daily_cases,19,-0.9940328448624446
intervention_m_vs_daily_cases,20,-0.993777607614389
intervention_m_vs_daily_cases,21,-0.9938138424903382
intervention_m_vs_daily_cases,22,-0.9938173968292349
intervention_m_vs_daily_cases,23,-0.9929063713091916
intervention_m_vs_daily_cases,24,-0.9912009670141484
intervention_m_vs_daily_cases,25,-0.9894593537314501
intervention_m_vs_daily_cases,26,-0.9880033023875773
intervention_m_vs_daily_cases,27,-0.9870032717430711
intervention_m_vs_daily_cases,28,-0.9867640830006094
intervention_m_vs_daily_cases,29,-0.9861333518740797
intervention_m_vs_daily_cases,30,-0.9843138702234137
vaccine_m_vs_daily_vaccinations,-30,-0.6466521203216625
vaccine_m_vs_daily_vaccinations,-29,-0.6439885469629686
vaccine_m_vs_daily_vaccinations,-28,-0.6270392519086542
vaccine_m_vs_daily_vaccinations,-27,-0.597089130788196
vaccine_m_vs_daily_vaccinations,-26,-0.555449848526452
vaccine_m_vs_daily_vaccinations,-25,-0.503540244975051
vaccine_m_vs_daily_vaccinations,-24,-0.44291319690431485
vaccine_m_vs_daily_vaccinations,-23,-0.41127380028566934
vaccine_m_vs_daily_vaccinations,-22,-0.3685585426656329
vaccine_m_vs_daily_vaccinations,-21,-0.3161657137368884
vaccine_m_vs_daily_vaccinations,-20,-0.2556403011631827
vaccine_m_vs_daily_vaccinations,-19,-0.18862125921738113
vaccine_m_vs_daily_vaccinations,-18,-0.11675339008075176
vaccine_m_vs_daily_vaccinations,-17,-0.041617032181663245
vaccine_m_vs_daily_vaccinations,-16,0.0018071624364541048
vaccine_m_vs_daily_vaccinations,-15,0.0529208789380234
vaccine_m_vs_daily_vaccinations,-14,0.11007406378051117
vaccine_m_vs_daily_vaccinations,-13,0.1715637018926859
vaccine_m_vs_daily_vaccinations,-12,0.23570383520147586
vaccine_m_vs_daily_vaccinations,-11,0.30089329326475284
vaccine_m_vs_daily_vaccinations,-10,0.3656617881792697
vaccine_m_vs_daily_vaccinations,-9,0.4157123234858182
vaccine_m_vs_daily_vaccinations,-8,0.4662187445140623
vaccine_m_vs_daily_vaccinations,-7,0.5157413787548654
vaccine_m_vs_daily_vaccinations,-6,0.5629801091236687
vaccine_m_vs_daily_vaccinations,-5,0.6068045826012096
vaccine_m_vs_daily_vaccinations,-4,0.6462779079295847
vaccine_m_vs_daily_vaccinations,-3,0.6806685867440241
vaccine_m_vs_daily_vaccinations,-2,0.703576218546758
vaccine_m_vs_daily_vaccinations,-1,0.7220162516800679
vaccine_m_vs_daily_vaccinations,0,0.7355294222271774
vaccine_m_vs_daily_vaccinations,1,0.7412946338882702
vaccine_m_vs_daily_vaccinations,2,0.7418857657570088
vaccine_m_vs_daily_vaccinations,3,0.7348389510794059
vaccine_m_vs_daily_vaccinations,4,0.7188250543477586
vaccine_m_vs_daily_vaccinations,5,0.6922291777533144
vaccine_m_vs_daily_vaccinations,6,0.6531619575901915
vaccine_m_vs_daily_vaccinations,7,0.5994863309723086
vaccine_m_vs_daily_vaccinations,8,0.5644519945178037
